"time(h)"	"Y"			"branch index"	"6h_withvortex"		"branch index"	"6h_novortex"
2.666666667	0.01814844							
2.683333333	0.01821497							
2.7	0.01820256							
2.716666667	0.01861729							
2.733333333	0.01845079							
2.75	0.01846159							
2.766666667	0.01864759							
2.783333333	0.01868724							
2.8	0.01867534							
2.816666667	0.0186948							
2.833333333	0.01890879							
2.85	0.01894112							
2.866666667	0.0189546							
2.883333333	0.01900458							
2.9	0.01926471							
2.916666667	0.01936613							
2.933333333	0.01935882							
2.95	0.01951553							
2.966666667	0.01943992							
2.983333333	0.01944861							
3	0.01974107							
3.016666667	0.01986175							
3.033333333	0.01997333							
3.05	0.01985457							
3.066666667	0.01996114							
3.083333333	0.01999737							
3.1	0.02021071							
3.116666667	0.0203468							
3.133333333	0.02039111							
3.15	0.02024923							
3.166666667	0.02072493							
3.183333333	0.02086991							
3.2	0.02094046							
3.216666667	0.02115162							
3.233333333	0.02091257							
3.25	0.02115947							
3.266666667	0.02138562							
3.283333333	0.02144769							
3.3	0.02138346							
3.316666667	0.02160607							
3.333333333	0.02155029							
3.35	0.02172403							
3.366666667	0.02167655							
3.383333333	0.02220451							
3.4	0.02213066							
3.416666667	0.02225001							
3.433333333	0.02243988							
3.45	0.02245044							
3.466666667	0.02251816							
3.483333333	0.02265949							
3.5	0.02256891							
3.516666667	0.02281553							
3.533333333	0.02312484							
3.55	0.02326173							
3.566666667	0.0231101							
3.583333333	0.02352099							
3.6	0.02347605							
3.616666667	0.02358776							
3.633333333	0.02377447							
3.65	0.02383339							
3.666666667	0.0241451							
3.683333333	0.02377284							
3.7	0.02422626							
3.716666667	0.02435023							
3.733333333	0.02415901							
3.75	0.02535703							
3.766666667	0.02511907							
3.783333333	0.02483045							
3.8	0.025243							
3.816666667	0.02525196							
3.833333333	0.02523103							
3.85	0.02546544							
3.866666667	0.02604626							
3.883333333	0.02614858							
3.9	0.02600155							
3.916666667	0.02599184							
3.933333333	0.02649154							
3.95	0.02620811							
3.966666667	0.02660476							
3.983333333	0.02649645							
4	0.02742408							
4.016666667	0.0270209							
4.033333333	0.02716325							
4.05	0.02745564							
4.066666667	0.02758695							
4.083333333	0.02787036							
4.1	0.02809986							
4.116666667	0.02833721							
4.133333333	0.02832014							
4.15	0.02790791							
4.166666667	0.02867608							
4.183333333	0.02886502							
4.2	0.02875432							
4.216666667	0.02883693							
4.233333333	0.0289602							
4.25	0.02937931							
4.266666667	0.02908348							
4.283333333	0.0292125							
4.3	0.02910013							
4.316666667	0.02952831							
4.333333333	0.02924194							
4.35	0.02963127							
4.366666667	0.02989249							
4.383333333	0.03026272							
4.4	0.02986221							
4.416666667	0.03040707							
4.433333333	0.03072128							
4.45	0.03094559							
4.466666667	0.03049379							
4.483333333	0.03138139							
4.5	0.03162319							
4.516666667	0.03148736							
4.533333333	0.03190707							
4.55	0.03207319							
4.566666667	0.03219756							
4.583333333	0.03252224							
4.6	0.03227429							
4.616666667	0.03237792							
4.633333333	0.03267005							
4.65	0.03303585							
4.666666667	0.03303492							
4.683333333	0.03311076							
4.7	0.03340962							
4.716666667	0.03367598							
4.733333333	0.03354706							
4.75	0.03396936							
4.766666667	0.03417812							
4.783333333	0.03447875							
4.8	0.03455934							
4.816666667	0.03515619							
4.833333333	0.03497388							
4.85	0.03576262							
4.866666667	0.03549586							
4.883333333	0.03623593							
4.9	0.03600892							
4.916666667	0.0366973							
4.933333333	0.03641864							
4.95	0.03724959							
4.966666667	0.03705257							
4.983333333	0.03791204							
5	0.03774532							
5.016666667	0.03827986							
5.033333333	0.03765037							
5.05	0.03830043							
