X	100-6.4	100-5	100-4	100-3.2	100-2.5	100-2	100-1.6	100-1.25
1.3875653266331658	1.0	1.0	0.9999999976754904	0.8937413598611686	0.3496069586177242	0.14112238460329918	0.067509467048952	0.03456173869374701
1.4272100502512564	1.0	1.0	0.999999999990077	0.930741167920767	0.3855621367444685	0.15409997264853326	0.07278923188211872	0.03693214694657854
1.4668547738693467	1.0	1.0	0.9999999999999906	0.958384433719295	0.4237541232281945	0.16803950081268126	0.07838731660303977	0.03941334819404585
1.5064994974874373	1.0	1.0	1.0	0.9773018019431303	0.4640080120371608	0.1829897305658852	0.08431963332023562	0.04200933136909635
1.5461442211055276	1.0	1.0	1.0	0.9889670702172262	0.5060648789183515	0.19899783112978087	0.090602630933176	0.044724231042119755
1.5857889447236182	1.0	1.0	1.0	0.9953243238417554	0.5495732333284102	0.21610840245049723	0.0972532661962574	0.04756232859783871
1.6254336683417085	1.0	1.0	1.0	0.9983168033694717	0.5940840685255984	0.23436233418323427	0.10428896647418262	0.05052805312071573
1.6650783919597991	1.0	1.0	1.0	0.9995010075758228	0.6390513275994306	0.2537954904692873	0.11172758309736475	0.053625981946141765
1.7047231155778895	1.0	1.0	1.0	0.9998825930596295	0.6838397286389337	0.2744372139776311	0.11958733414205225	0.05686084083109544
1.74436783919598	1.0	1.0	1.0	0.9999790173618751	0.7277417610915151	0.2963086480405033	0.12788673537850848	0.06023750369418779
1.7840125628140704	1.0	1.0	1.0	0.9999972967049028	0.7700051502004185	0.3194208830765195	0.13664451805438516	0.06376099187102557
1.823657286432161	1.0	1.0	1.0	0.9999997640716319	0.809871072813071	0.34377294320544327	0.14587953211267657	0.06743647282664955
1.8633020100502513	1.0	1.0	1.0	0.9999999870469425	0.846621841108113	0.3693496413215084	0.15561063338827008	0.07126925826243191
1.9029467336683417	1.0	1.0	1.0	0.999999999590351	0.879634719642208	0.3961193461312149	0.165856553288928	0.07526480155026538
1.9425914572864322	1.0	1.0	1.0	0.99999999999328	0.9084362655580821	0.4240317228539542	0.17663574945118932	0.07942869442215272
1.9822361809045226	1.0	1.0	1.0	0.9999999999999495	0.9327495759611105	0.4530155302751969	0.18796623587587358	0.08376666283843803
2.021880904522613	1.0	1.0	1.0	0.9999999999999999	0.9525257922758348	0.4829765801418968	0.19986539109931456	0.088284561952922
2.0615256281407035	1.0	1.0	1.0	1.0	0.9679519149893817	0.5137959895513329	0.21234974305402	0.09298837008801619
2.101170351758794	1.0	1.0	1.0	1.0	0.9794299712163965	0.5453288814754297	0.22543472942615383	0.09788418162794699
2.1408150753768846	1.0	1.0	1.0	1.0	0.9875278061620626	0.5774037106434171	0.239134432538197	0.10297819873286007
2.180459798994975	1.0	1.0	1.0	1.0	0.9929082829091471	0.6098224086406581	0.2534612880855329	0.10827672177157155
2.2201045226130653	1.0	1.0	1.0	1.0	0.9962495928952358	0.6423615494169084	0.26842576744858604	0.11378613836571116
2.2597492462311557	1.0	1.0	1.0	1.0	0.998172397195742	0.6747747298556448	0.2840360338011261	0.11951291093319116
2.2993939698492465	1.0	1.0	1.0	1.0	0.9991879167387325	0.7067963346032601	0.3002975728543098	0.12546356261440772
2.339038693467337	1.0	1.0	1.0	1.0	0.999674846846105	0.7381468050014703	0.31721279982835626	0.1316446614604304
2.378683417085427	1.0	1.0	1.0	1.0	0.9998842458497237	0.768539454542332	0.33478064514172734	0.13806280275879235
2.4183281407035175	1.0	1.0	1.0	1.0	0.9999639094728778	0.7976887655171329	0.3529961223613667	0.14472458936948907
2.4579728643216083	1.0	1.0	1.0	1.0	0.9999903113469192	0.8253199644612077	0.3718498831735445	0.15163660994158512
2.4976175879396987	1.0	1.0	1.0	1.0	0.9999978031360529	0.8511795133475863	0.3913277655147108	0.1588054148795902
2.537262311557789	1.0	1.0	1.0	1.0	0.9999995882844988	0.8750459810854966	0.4114103425401252	0.16623748992869636
2.5769070351758794	1.0	1.0	1.0	1.0	0.9999999377669017	0.8967405944839688	0.43207248179040425	0.173939227249282
2.6165517587939697	1.0	1.0	1.0	1.0	0.9999999926194703	0.9161366348827933	0.45328292571651874	0.1819168938540353
2.6561964824120605	1.0	1.0	1.0	1.0	0.999999999334316	0.9331667763965139	0.4750039066018732	0.1901765972858841
2.695841206030151	1.0	1.0	1.0	1.0	0.9999999999559142	0.9478274852858546	0.49719081081867056	0.19872424842194802
2.735485929648241	1.0	1.0	1.0	1.0	0.9999999999979395	0.9601797431448482	0.5197919091978891	0.20756552129824857
2.7751306532663316	1.0	1.0	1.0	1.0	0.999999999999935	0.9703456318639505	0.5427481719789108	0.21670580986228383
2.8147753768844224	1.0	1.0	1.0	1.0	0.9999999999999987	0.978500716607694	0.5659931882135767	0.22615018157613787
2.8544201005025127	1.0	1.0	1.0	1.0	1.0	0.984862647338136	0.5894532104833407	0.23590332781195178
2.894064824120603	1.0	1.0	1.0	1.0	1.0	0.9896769035000395	0.6130473461773378	0.24596951100472564
2.9337095477386934	1.0	1.0	1.0	1.0	1.0	0.9932010414256269	0.6366879161838526	0.2563525085549555
2.973354271356784	1.0	1.0	1.0	1.0	1.0	0.9956890739800353	0.6602810004647637	0.26705555350597665
3.0129989949748746	1.0	1.0	1.0	1.0	1.0	0.9973776378873035	0.6837271874053932	0.27808127205848276
3.052643718592965	1.0	1.0	1.0	1.0	1.0	0.9984753500159281	0.7069225398649155	0.28943161802794637
3.0922884422110553	1.0	1.0	1.0	1.0	1.0	0.9991562468131714	0.7297597853286365	0.30110780439996365
3.131933165829146	1.0	1.0	1.0	1.0	1.0	0.9995575357473532	0.7521297303699258	0.3131102321942406
3.1715778894472364	1.0	1.0	1.0	1.0	1.0	0.9997812083826945	0.7739228907341847	0.3254384169103256
