"time [h]"	"Idle rep 1"	"Idle rep 2"	"Idle rep 3"	"Idle rep 4"	"Idle rep 5"	"Idle rep 6"			"Agitated rep 1"	"Agitated rep 2"	"Agitated rep 3"
33.66667	2.374972298	9.632099	4.75	5.996323	4.496035	6.024589					
34	1.482972594	9.510511	5.59982	5.089823	4.675268	5.47353					
34.33333	1.694430081	8.953863	5.085432	5.00034	4.020899	5.357618					
34.66667	2.475622368	9.343326	5.414568	5.443864	5.382053	6.204158					
35	3.554147891	11.58132	7.227518	7.581726	7.232715	7.818379					
35.33333	1.217958189	8.605245	3.958633	4.462471	3.745287	5.228404					
35.66667	4.129423063	11.25455	8.620504	7.200451	7.664733	7.892487					
36	4.892147448	12.02018	8.481115	8.034003	7.870175	8.537605					
36.33333	1.880032504	9.275883	5.344424	5.474989	5.629766	5.797515					
36.66667	5.258735318	12.77916	9.283273	7.916314	8.571888	9.615969					
37	5.059281968	12.93399	10.64658	8.378318	8.217649	9.574165					
37.33333	2.794193691	10.61146	7.428957	5.202649	5.527468	6.578497					
37.66667	6.050084952	13.65022	12.39478	9.051385	8.983615	9.762285					
38	6.463765975	13.51439	12.93435	8.545612	8.672495	9.802189					
38.33333	4.5403339	12.2719	11.07554	7.072063	6.925821	8.252575					
38.66667	6.605045431	13.48969	14.77878	7.929931	8.984461	10.65633					
39	7.086134299	13.83166	14.34802	8.706097	9.025042	10.27724					
39.33333	6.955935584	13.61508	14.28777	9.082509	9.523004	10.50336					
39.66667	7.339144567	14.17457	14.28687	8.756675	9.227947	10.92331					
40	7.592154835	14.00359	14.88219	8.646766	8.859336	11.38696					
40.33333	5.990064268	13.91905	12.53957	7.059419	8.288666	9.268232					
40.66667	7.085210903	16.09625	14.52518	9.445304	9.422397	10.62023					
41	7.563529586	17.17819	14.51259	8.631204	9.850189	10.68198					
41.33333	7.52659378	17.51256	14.66547	9.518252	10.10213	10.96606					
41.66667	5.792457709	16.39927	12.82554	8.140021	7.932737	10.22498					
42	7.253268819	16.6301	14.8795	9.784755	10.15116	11.47532					
42.33333	4.513555441	13.9314	11.19065	6.285197	7.080536	8.456846					
42.66667	7.961512891	16.5484	15.00989	9.95983	10.25515	11.25964					
43	8.25792273	16.49521	15.38489	10.3343	10.61024	11.85821					
43.33333	6.70015513	14.73787	13.34263	8.981354	9.356453	10.52997					
43.66667	6.925463544	15.69823	12.8696	8.243121	9.296427	10.14803					
44	8.587574795	16.55315	14.79227	9.745849	11.79892	11.48387					
44.33333	6.76109921	13.96939	12.97752	6.999115	10.23064	9.487706					
44.66667	7.52659378	15.33062	13.09353	8.510597	10.97631	10.58887					
45	8.94954569	17.23709	15.38129	9.763357	12.48795	12.59549					
45.33333	8.880291054	17.71964	15.30396	9.669983	12.62407	12.12424					
45.66667	9.675334269	18.52327	15.76709	9.995818	12.72975	14.6591					
46	7.942121593	15.62509	13.68525	9.006643	11.13779	13.65485					
46.33333	9.654096181	16.90272	15.09083	10.21174	12.72467	14.51374					
46.66667	7.104602201	13.87725	11.67086	7.185862	9.732673	11.97697					
47	9.797222427	17.0604	14.83723	10.34986	10.94841	14.28001					
47.33333	9.739048534	16.88182	15.15288	10.38974	10.75819	14.76837					
47.66667	10.2773879	17.39667	15.33363	11.03168	10.88923	14.78832					
											
											
											
											
											
0									136.6847428	135.1558	135.3032
0.05639									130.0161219	130.9628	128.9767
0.11278									126.7257804	127.263	125.9857
0.16917									124.5859593	125.9804	124.1729
0.22556									123.4207826	123.925	122.9856
0.28194									120.7460062	122.1656	121.8798
0.33833									119.4782354	123.1933	121.6804
0.39472									118.46695	121.4503	120.5928
0.45111									117.7121501	121.1379	119.8042
0.5075									116.4810201	120.513	119.9039
0.56389									115.623626	120.6364	118.7075
0.62028									114.6269969	118.7289	119.206
0.67667									114.2459329	118.8029	117.5383
0.73306									113.5570863	119.0496	116.6772
0.78944									111.5565001	117.2655	117.3933
0.84583									112.2819874	117.2737	117.076
0.90222									112.025502	116.9366	115.9793
0.95861									111.2853583	117.249	115.9884
1.015									110.8163564	115.58	115.2361
1.07139									110.8383409	115.0374	114.1213
1.12778									110.6184963	113.8042	112.2995
1.18417									108.2734867	112.7353	111.6469
1.24056									108.8597391	111.905	109.8251
1.29694									108.1635644	111.4034	109.0365
1.35333									107.1889198	109.2247	107.6498
1.40972									105.3788656	108.5176	107.8582
1.46611									105.5181005	108.271	106.1452
1.5225									105.115052	107.5146	106.5893
1.57889									104.7046754	106.5362	105.5561
1.63528									103.8692657	106.1005	105.121
1.69167									104.7999414	104.5384	105.257
1.74806									103.4369046	104.4972	104.1784
1.80444									102.8506522	104.0122	104.1693
1.86083									102.4842445	103.486	103.5983
1.91722									102.1984464	102.2445	102.9185
1.97361									101.6634911	103.4202	102.9638
2.03									101.7221164	101.2497	102.4925
2.08639									100.6815184	100.7975	101.6677
2.14278									100.520299	99.70402	101.4683
2.19917									100.190532	98.81608	99.87311
2.25556									99.33313792	98.16657	99.85498
2.31194									100.0439689	95.24788	98.75827
2.36833									98.3804778	95.14922	97.8519
2.42472									97.28125458	93.87487	97.39871
2.48111									96.2406566	91.8359	95.20529
2.5375									95.16341785	90.08468	94.60709
2.59389									93.67580243	87.67574	92.21427
2.65028									92.52528213	86.95223	92.06018
2.70667									90.67125898	85.22568	90.41059
2.76306									89.9384435	82.87429	87.55552
2.81944									87.75465338	80.70377	86.50412
2.87583									85.58551957	77.8673	84.50104
2.93222									84.31774879	76.91359	81.90882
2.98861									81.51839367	73.46049	79.33472
3.045									80.43382676	71.33931	78.09299
3.10139									78.68239777	68.76593	75.6186
3.15778									74.71053789	66.56253	74.00526
3.21417									73.76520592	64.01381	71.18644
3.27056									71.29561776	62.39415	69.0474
3.32694									68.29107431	58.62863	66.72709
3.38333									66.24651913	57.0254	64.82371
3.43972									64.49509014	55.27419	63.25569
3.49611									62.31130001	52.86525	61.56984
3.5525									60.19346329	50.89205	58.21626
3.60889									58.92569251	49.30527	56.86577
3.66528									55.89183644	47.43895	55.76906
3.72167									54.08178221	45.2931	53.30373
3.77806									49.44306024	44.52849	50.92903
3.83444									48.90077678	42.1031	49.03471
3.89083									46.52645464	40.64787	47.8383
3.94722									43.25076946	39.83392	46.62377
4.00361									41.25751136	38.01694	44.62068
4.06									39.12501832	36.84946	43.09798
4.11639									36.81664957	35.64088	41.24898
4.17278									35.26308076	34.35008	39.28215
4.22917									32.0313645	33.13327	38.45736
4.28556									31.17397039	31.6616	36.68993
4.34194									28.79964825	30.65033	35.55697
4.39833									27.91294152	29.82817	34.63247
4.45472									26.57921735	29.17866	33.46325
4.51111									26.04426205	28.50448	32.11275
4.5675									24.4980214	27.25479	31.08855
4.62389									24.21222336	26.62172	29.51147
4.68028									22.07240217	25.72556	29.66555
4.73667									20.31364502	25.3227	28.00689
4.79306									19.74204895	24.56631	27.68059
4.84944									18.91396746	23.60437	26.49325
4.90583									17.62421222	22.88087	26.08538
4.96222									16.83277151	23.07819	24.77114
5.01861									17.22849187	21.5654	24.05511
5.075									15.9753774	21.57362	23.53848
5.13139									15.63095413	20.51303	22.81338
5.18778									14.54638722	20.64458	22.62304
5.24417									14.09936978	19.88819	21.15472
5.30056									13.55708633	19.33733	20.61089
5.35694									12.6703796	19.01669	20.04894
5.41333									11.98153305	18.80293	19.77703
5.46972									11.59314085	18.30963	19.48699
5.52611									11.45390591	17.93965	18.79815
5.5825									11.01421662	17.51213	18.15463
5.63889									10.23743221	17.14215	17.71957
5.69528									10.41330793	16.59952	16.94915
5.75167									10.05422835	16.03223	16.56848
5.80806									9.89300894	16.44331	16.32376
5.86444									9.438663345	15.45671	16.51409
5.92083									9.372709952	15.53893	15.9884
5.97722									9.167521618	14.95519	15.59866
6.03361									8.529972153	15.21828	15.31768
6.09									8.390737212	14.91408	15.11828
6.14639									8.302799355	14.33857	14.62884
6.20278									7.921735307	14.32212	13.95813
6.25917									7.6799062	13.77127	13.78591
6.31556									7.855781914	13.98504	13.66809
6.37194									7.350139235	13.24509	12.76171
6.42833									7.122966437	13.29442	13.25116
6.48472									7.108310128	12.85867	12.86142
6.54111									6.932434413	13.26975	12.87048
6.5975									6.829840246	12.76823	12.51699
6.65389									6.961747032	12.77645	12.33572
6.71028									6.771215008	12.54625	11.76471
6.76667									6.368166496	12.34893	11.42935
6.82306									6.038399531	12.36537	11.19369
6.87944									6.126337388	12.00362	11.33871
6.93583									5.928477209	11.83096	11.43841
