"time [h]"	"Agitated rep 1"	"Agitated rep 2"	"Agitated rep 3"	"Idle rep 1"	"Idle rep 2"	"Idle rep 3"
765	0.0622415025450326	0.0965090020667928	0.121802921381377			
771.6	0.0783696571396542	0.125280249961876	0.146438604114843			
778.2	0.0991619660310461	0.152526548715636	0.170686502953431			
784.8	0.120379776717933	0.175238557203438	0.198827447952368			
791.4	0.140329264745171	0.203571787791971	0.221896787894755			
798	0.162299886301011	0.231523781095173	0.24397005547971			
804.6	0.187077183161748	0.262111989669281	0.267883395663892			
811.2	0.207738568423757	0.286397615888023	0.291849961088547			
817.8	0.238489255875096	0.31156738815147	0.318150833488257			
824.4	0.258528753897535	0.334052276554394	0.342193434970732			
831	0.28880484319236	0.336412703150805	0.355286844127222			
837.6	0.318049908905793	0.362499067185366	0.371414091990704			
844.8	0.339292267773189	0.389558803012261	0.382104761720103			
851.4	0.358235280399546	0.409894162040447	0.398216802372021			
858	0.375729950375853	0.42640903678372	0.390696836253688			
864.6	0.397823312834239	0.446768730106714	0.405607507192061			
871.2	0.415964418230624	0.466633626101938	0.415005563938531			
877.8	0.435062902666873	0.479255013675874	0.414306032206593			
884.4	0.460077498605868	0.500150061484652	0.426251296890011			
891	0.472408867948382	0.514158503862664	0.426395765399868			
897.6	0.484617496388349	0.524022004691652	0.430843874782299			
904.2	0.483316442821355	0.532417336400536	0.440667733452558			
910.8	0.478963232144369	0.542507957314402	0.452848709915216			
917.4	0.491384611482084	0.55085462043367	0.470534696963994			
924.6	0.498896354717935	0.562080841771926	0.484015890015363			
931.2	0.514746296600118	0.567134263660462	0.500698201100926			
937.8	0.53289558472334	0.578141476345443	0.522779072291662			
944.4	0.533787501948512	0.593974990834082	0.535150138898869			
951	0.535407681862127	0.609054142183662	0.558614866341917			
957.6	0.552984179106798	0.624141404964845	0.580216710368391			
964.2	0.540030922524715	0.624782208061465	0.61414399936738			
970.8	0.546650748535394	0.64048593964446	0.6244468852019			
977.4	0.557026446163999	0.653796798904632	0.63855917753317			
984	0.57198447082101	0.678139205144594	0.657552984776441			
990.6	0.58694249547802	0.676078901517487	0.669840411720046			
997.8	0.610541479674311	0.692666779145185	0.677816594185294			
1004.4	0.631440164014577	0.694013276791247	0.688895047809572			
1011	0.631071941306937	0.704890706570584	0.698452780277463			
1017.6	0.633665865714088	0.705434172487971	0.721157147142318			
1024.2	0.649433980327906	0.710747160187796	0.726654554122656			
1030.8	0.664015599550441	0.704030894820689	0.73378673634611			
1037.4	0.673229349968271	0.714567644472708	0.755396183978366			
1044	0.690404893597957	0.733694400192079	0.76854281837533			
1050.6	0.701697056632243	0.747378385305979	0.78053370469344			
1057.2	0.701132448480529	0.743809355400753	0.789171400861717			
1063.8	0.72470688449631	0.758409932285769	0.79708675448071			
1070.4	0.738052911966542	0.763025336867755	0.808629028057685			
1077	0.746571130603276	0.769984945182945	0.817304742254872			
1084.2	0.751840806685942	0.762725213898451	0.827744492993467			
1090.8	0.770284672975276	0.786013134030051	0.822551230244406			
1097.4	0.781748673273127	0.782533329872456	0.835515378102604			
1104	0.790471460080772	0.792299493522211	0.832283845645282			
1110.6	0.797582249701637	0.79908065034214	0.846289687495604			
1117.2	0.793433607195563	0.810493434607261	0.855163095443121			
1123.8	0.804038421175588	0.820721949858374	0.853520716594223			
1130.4	0.813980434281861	0.827908678258443	0.862386520935958			
1137	0.812589370719667	0.845534819131298	0.874156902686392			
1143.6	0.819495592169621	0.848244037286629	0.870659244026702			
1150.2	0.826270889990193	0.857312617818544	0.884087211837598			
1157.4	0.834568175002342	0.856120237372934	0.882467643806046			
1164	0.840263352880504	0.851675172854607	0.892686889976965			
1170.6	0.847390507955042	0.865529498032167	0.89117377242636			
1177.2	0.854100343960922	0.860419296122411	0.897013341666885			
1183.8	0.859263644594716	0.89316514550286	0.89789535993759			
1190.4	0.872045063913234	0.902168834581953	0.895964044068978			
1197	0.868207365026944	0.900416765355751	0.910920336642042			
1203.6	0.877977540869652	0.887300580454046	0.910806282555313			
1210.2	0.882862628791006	0.893416599882547	0.908768516205755			
1216.8	0.889768850240961	0.910556054859234	0.919869780647379			
1223.4	0.893524721858886	0.906662567689897	0.923580340268962			
1230	0.895873164460944	0.912308124085436	0.927967620805138			
1236.6	0.90261573137417	0.906711236279513	0.930590864799905			
1243.8	0.901928382319909	0.915285019483659	0.93218001840833			
1250.4	0.904121353112075	0.915714925358606	0.92821093619016			
1257	0.911657644528435	0.917815786143728	0.936962686445166			
1263.6	0.91711552332834	0.916006936896307	0.933624703506897			
1270.2	0.92146055127849	0.918594483577596	0.941517246308544			
1276.8	0.92695116098574	0.920184324171742	0.940802507365043			
1283.4	0.929463258124527	0.92099546733202	0.937943551591035			
1290	0.92720482551767	0.921676827586654	0.950808852574068			
1296.6	0.932040817078005	0.92253663933655	0.94496167972776			
1303.2	0.935682130520221	0.930015379274319	0.948003122040534			
1309.8	0.941393673852055	0.931426768373204	0.960503449946033			
1317	0.939249799420908	0.93583938716512	0.954587844647689			
1323.6	0.946237848139227	0.935336478405747	0.948786293436073			
1330.2	0.948177154399463	0.933154503304597	0.958009467249559			
1336.8	0.949658227956859	0.932773266019266	0.959689864127366			
1343.4	0.949690958864205	0.941922960867209	0.96552182976211			
1350	0.957358173909948	0.9407305804216	0.958260386240363			
1356.6	0.9629387936124	0.946392359680345	0.962191450429623			
1363.2	0.959960281043936	0.947008828482157	0.966593938177362			
1369.8	0.962668763626797	0.945759668015327	0.970525002366622			
1376.4	0.965900940727191	0.947211614272226	0.97055541678975			
1383	0.960083021946482	0.945378430729996	0.96615292904201			
1389.6	0.968372124231795	0.94893934920362	0.972494336264143			
1396.2	0.965467256204859	0.952743610625327	0.968821794671469			
1403.4	0.965884575273518	0.953416859448358	0.975003526172181			
1410	0.969804101428172	0.959938450456998	0.964099955480888			
1416.6	0.973658165768135	0.957123783690831	0.971741579291732			
1423.2	0.966931964308582	0.952565159130065	0.971619921599221			
1429.8	0.967570217001824	0.960360244900343	0.97374132761238			
1436.4	0.972537132191543	0.958908298643444	0.97165793962813			
1443	0.972111630396048	0.966062581317102	0.96988629948094			
1449.6	0.978175030981849	0.964983760913931	0.979710158151198			
1456.2	0.97945971909517	0.962615222885918	0.975961580500705			
1462.8	0.970663287745998	0.962152871284559	0.977178157425814			
1469.4	0.975572923847862	0.967538861868809	0.977489905262874			
1476.6	0.975122873871858	0.971651357691422	0.978866157909404			
1483.2	0.973764541217009	0.966095027043513	0.974501688190574			
1489.8	0.973879099392719	0.971075446047624	0.978790121851584			
1496.4	0.978224127342868	0.971432349038146	0.983709654792496			
1503	0.975016498422984	0.975406950523512	0.982493077867386			
1509.6	0.972987182167547	0.973565655549679	0.976835995165627			
1516.2	0.975032863876657	0.975066270396195	0.985717006718926			
1522.8	0.975302893862259	0.976355988021038	0.987283349510005			
1529.4	0.982266394400069	0.978643411733024	0.989457980763638			
1536	0.978715090953054	0.978424403079748	0.990423638697943			
1542.6	0.980073423607903	0.976639888127135	0.995586487023876			
1549.2	0.983125580717895	0.978002608636404	0.987366989173606			
1555.8	0.98486031880722	0.980184583737553	0.983124177147287			
1563	0.982740992556582	0.980963281171421	0.993419459376025			
1569.6	0.98127628445286	0.976923788233233	0.991967170671676			
1576.2	0.985555850588318	0.97959244923055	0.988902917541556			
1582.8	0.983862026133175	0.976550662379505	0.990416035092161			
1589.4	0.986586874169709	0.980014243673895	0.993267387260387			
1596	0.988599824971473	0.985286674215706	0.989077800474541			
1602.6	0.98499942516344	0.980987615466229	0.983169798781978			
1609.2	0.986807807794293	0.985140668446856	0.984812177630876			
1615.8	0.986046814198504	0.983445379241873	0.991480539901632			
1622.4	0.989810868543266	0.980427926685637	0.992491819470629			
1629	0.988444353161581	0.979560003504139	0.982766807675536			
1636.2	0.983518351606044	0.987663323675322	0.985207565131537			
1642.8	0.987323319584988	0.986089705944382	0.983702051186714			
1649.4	0.988256150444342	0.987784995149364	0.986226448306316			
1656	0.992871208380094	0.984872991203964	0.985618159843761			
1662.6	0.984909415168239	0.992367954004938	0.98643934926821			
1669.2	0.992691188389693	0.987411869295636	0.986865151191998			
1675.8	0.988624373151982	0.991856933813963	0.984013799023773			
1682.4	0.990530948504873	0.991410805075809	0.98754187210659			
1689	0.991431048456881	0.989415392901524	0.99029437739965			
1695.6	0.993321258356098	0.992205725372883	0.986424142056646			
1702.2	0.990735516675784	0.987817440875775	0.99198237788324			
1708.8	0.99398405922985	0.991978605288005	0.994757693993646			
1715.4	0.991152835744442	0.99135402505459	0.986097187008023			
1722.6	0.995612421870301	0.995247512223927	0.988971349993594			
1729.2	0.99338672017079	0.992627519816227	0.987838412732086			
1735.8	0.993452181985481	0.994274140431593	0.985344430035611			
1742.4	0.989712675821229	0.994047020346715	0.986811925951525			
1749	0.996586166363837	0.995523300898422	0.987214917057967			
